team,round,overall_pick,player,position
SWEEP THE LEG JOHNNY,1,1,Ja'Marr Chase,WR
SWEEP THE LEG JOHNNY,2,24,Patrick Mahomes,QB
SWEEP THE LEG JOHNNY,3,25,Terry McLaurin,WR
SWEEP THE LEG JOHNNY,4,48,Sam LaPorta,TE
SWEEP THE LEG JOHNNY,5,49,Joe Mixon,RB
SWEEP THE LEG JOHNNY,6,72,Jerry Jeudy,WR
SWEEP THE LEG JOHNNY,7,73,Ricky Pearsall,WR
SWEEP THE LEG JOHNNY,8,96,Kaleb Johnson,RB
SWEEP THE LEG JOHNNY,9,97,Matthew Stafford,QB
SWEEP THE LEG JOHNNY,10,120,Josh Downs,WR
SWEEP THE LEG JOHNNY,11,121,Eagles,DEF
SWEEP THE LEG JOHNNY,12,144,Rhamondre Stevenson,RB
SWEEP THE LEG JOHNNY,13,145,Rachaad White,RB
SWEEP THE LEG JOHNNY,14,168,Joshua Palmer,WR
SWEEP THE LEG JOHNNY,15,169,Kyle Pitts Sr.,TE
SWEEP THE LEG JOHNNY,16,192,Daniel Jones,QB
SWEEP THE LEG JOHNNY,17,193,Jonnu Smith,TE
SWEEP THE LEG JOHNNY,18,216,Wil Lutz,K
Losers Get Lucky,1,5,Lamar Jackson,QB
Losers Get Lucky,2,20,Ladd McConkey,WR
Losers Get Lucky,3,29,Marvin Harrison Jr.,WR
Losers Get Lucky,4,44,Jaylen Waddle,WR
Losers Get Lucky,5,53,Alvin Kamara,RB
Losers Get Lucky,6,68,Chris Olave,WR
Losers Get Lucky,7,77,Jordan Mason,RB
Losers Get Lucky,8,92,Stefon Diggs,WR
Losers Get Lucky,9,101,Evan Engram,TE
Losers Get Lucky,10,116,Tank Bigsby,RB
Losers Get Lucky,11,125,Bhayshul Tuten,RB
Losers Get Lucky,12,140,Jake Ferguson,TE
Losers Get Lucky,13,149,Sam Darnold,QB
Losers Get Lucky,14,164,Trey Benson,RB
Losers Get Lucky,15,173,Harrison Butker,K
Losers Get Lucky,16,188,Bills,DEF
Losers Get Lucky,17,197,Hollywood Brown,WR
Losers Get Lucky,18,212,Darius Slayton,WR
WWF,1,3,Nico Collins,WR
WWF,2,22,Omarion Hampton,RB
WWF,3,27,Derrick Henry,RB
WWF,4,46,DK Metcalf,WR
WWF,5,51,Tony Pollard,RB
WWF,6,70,Jakobi Meyers,WR
WWF,7,75,Justin Herbert,QB
WWF,8,94,Brandon Aubrey,K
WWF,9,99,David Njoku,TE
WWF,10,118,Ravens,DEF
WWF,11,123,Geno Smith,QB
WWF,12,142,Rashod Bateman,WR
WWF,13,147,Baker Mayfield,QB
WWF,14,166,Ray Davis,RB
WWF,15,171,Tyler Allgeier,RB
WWF,16,190,Romeo Doubs,WR
WWF,17,195,Vikings,DEF
WWF,18,214,Jarquez Hunter,RB
Lucky Charlie,1,11,Amon-Ra St. Brown,WR
Lucky Charlie,2,14,Josh Jacobs,RB
Lucky Charlie,3,35,Tyreek Hill,WR
Lucky Charlie,4,38,Davante Adams,WR
Lucky Charlie,5,59,Tetairoa McMillan,WR
Lucky Charlie,6,62,DJ Moore,WR
Lucky Charlie,7,83,Jaylen Warren,RB
Lucky Charlie,8,86,Tucker Kraft,TE
Lucky Charlie,9,107,Jordan Love,QB
Lucky Charlie,10,110,Jordan Addison,WR
Lucky Charlie,11,131,Jayden Reed,WR
Lucky Charlie,12,134,Javonte Williams,RB
Lucky Charlie,13,155,Tyjae Spears,RB
Lucky Charlie,14,158,Zach Ertz,TE
Lucky Charlie,15,179,Aaron Rodgers,QB
Lucky Charlie,16,182,Najee Harris,RB
Lucky Charlie,17,203,Chargers,DEF
Lucky Charlie,18,206,Chris Boswell,K
Friday Night Tights,1,8,Saquon Barkley,RB
Friday Night Tights,2,17,Puka Nacua,WR
Friday Night Tights,3,32,Kenneth Walker III,RB
Friday Night Tights,4,41,Courtland Sutton,WR
Friday Night Tights,5,56,Isiah Pacheco,RB
Friday Night Tights,6,65,Travis Kelce,TE
Friday Night Tights,7,80,Joe Burrow,QB
Friday Night Tights,8,89,C.J. Stroud,QB
Friday Night Tights,9,104,Austin Ekeler,RB
Friday Night Tights,10,113,Cooper Kupp,WR
Friday Night Tights,11,128,Darnell Mooney,WR
Friday Night Tights,12,137,Chiefs,DEF
Friday Night Tights,13,152,Evan McPherson,K
Friday Night Tights,14,161,Brenton Strange,TE
Friday Night Tights,15,176,Tre' Harris,WR
Friday Night Tights,16,185,Tyler Bass,K
Friday Night Tights,17,200,Elic Ayomanor,WR
Friday Night Tights,18,209,Will Shipley,RB
Tush Pushers,1,7,Jalen Hurts,QB
Tush Pushers,2,18,Bucky Irving,RB
Tush Pushers,3,31,De'Von Achane,RB
Tush Pushers,4,42,Jameson Williams,WR
Tush Pushers,5,55,Rome Odunze,WR
Tush Pushers,6,66,Malik Nabers,WR
Tush Pushers,7,79,Zach Charbonnet,RB
Tush Pushers,8,90,Jacory Croskey-Merritt,RB
Tush Pushers,9,103,J.J. McCarthy,QB
Tush Pushers,10,114,Colston Loveland,TE
Tush Pushers,11,127,Keon Coleman,WR
Tush Pushers,12,138,Cam Skattebo,RB
Tush Pushers,13,151,Marvin Mims Jr.,WR
Tush Pushers,14,162,Jaxson Dart,QB
Tush Pushers,15,175,Elijah Arroyo,TE
Tush Pushers,16,186,Xavier Legette,WR
Tush Pushers,17,199,Lions,DEF
Tush Pushers,18,210,Chase McLaughlin,K
Sh*ts & Kittles,1,4,Josh Allen,QB
Sh*ts & Kittles,2,21,Bijan Robinson,RB
Sh*ts & Kittles,3,28,Mike Evans,WR
Sh*ts & Kittles,4,45,Zay Flowers,WR
Sh*ts & Kittles,5,52,David Montgomery,RB
Sh*ts & Kittles,6,69,George Kittle,TE
Sh*ts & Kittles,7,76,T.J. Hockenson,TE
Sh*ts & Kittles,8,93,Braelon Allen,RB
Sh*ts & Kittles,9,100,Rashid Shaheed,WR
Sh*ts & Kittles,10,117,Michael Penix Jr.,QB
Sh*ts & Kittles,11,124,Michael Pittman Jr.,WR
Sh*ts & Kittles,12,141,Jerome Ford,RB
Sh*ts & Kittles,13,148,Jaydon Blue,RB
Sh*ts & Kittles,14,165,Jayden Higgins,WR
Sh*ts & Kittles,15,172,Rico Dowdle,RB
Sh*ts & Kittles,16,189,Steelers,DEF
Sh*ts & Kittles,17,196,Ka'imi Fairbairn,K
Sh*ts & Kittles,18,213,Russell Wilson,QB
Spicy Bijan Mustard,1,12,Ashton Jeanty,RB
Spicy Bijan Mustard,2,13,A.J. Brown,WR
Spicy Bijan Mustard,3,36,TreVeyon Henderson,RB
Spicy Bijan Mustard,4,37,George Pickens,WR
Spicy Bijan Mustard,5,60,Dak Prescott,QB
Spicy Bijan Mustard,6,61,Tyrone Tracy Jr.,RB
Spicy Bijan Mustard,7,84,Mark Andrews,TE
Spicy Bijan Mustard,8,85,Matthew Golden,WR
Spicy Bijan Mustard,9,108,Khalil Shakir,WR
Spicy Bijan Mustard,10,109,Jared Goff,QB
Spicy Bijan Mustard,11,132,Keenan Allen,WR
Spicy Bijan Mustard,12,133,Nick Chubb,RB
Spicy Bijan Mustard,13,156,Jake Bates,K
Spicy Bijan Mustard,14,157,Chig Okonkwo,TE
Spicy Bijan Mustard,15,180,Brian Robinson Jr.,RB
Spicy Bijan Mustard,16,181,Wan'Dale Robinson,WR
Spicy Bijan Mustard,17,204,Chris Rodriguez Jr.,RB
Spicy Bijan Mustard,18,205,Texans,DEF
Should’ve handed off to Lynch,1,9,Justin Jefferson,WR
Should’ve handed off to Lynch,2,16,Jaxon Smith-Njigba,WR
Should’ve handed off to Lynch,3,33,James Conner,RB
Should’ve handed off to Lynch,4,40,Xavier Worthy,WR
Should’ve handed off to Lynch,5,57,Aaron Jones Sr.,RB
Should’ve handed off to Lynch,6,64,Breece Hall,RB
Should’ve handed off to Lynch,7,81,Jayden Daniels,QB
Should’ve handed off to Lynch,8,88,J.K. Dobbins,RB
Should’ve handed off to Lynch,9,105,Dallas Goedert,TE
Should’ve handed off to Lynch,10,112,Trevor Lawrence,QB
Should’ve handed off to Lynch,11,129,Dalton Kincaid,TE
Should’ve handed off to Lynch,12,136,Broncos,DEF
Should’ve handed off to Lynch,13,153,Hunter Henry,TE
Should’ve handed off to Lynch,14,160,Jalen Milroe,QB
Should’ve handed off to Lynch,15,177,Luther Burden III,WR
Should’ve handed off to Lynch,16,184,Jake Elliott,K
Should’ve handed off to Lynch,17,201,Blake Corum,RB
Should’ve handed off to Lynch,18,208,Adam Thielen,WR
Better Than Most of You,1,10,Christian McCaffrey,RB
Better Than Most of You,2,15,CeeDee Lamb,WR
Better Than Most of You,3,34,Chuba Hubbard,RB
Better Than Most of You,4,39,DeVonta Smith,WR
Better Than Most of You,5,58,Trey McBride,TE
Better Than Most of You,6,63,D'Andre Swift,RB
Better Than Most of You,7,82,Caleb Williams,QB
Better Than Most of You,8,87,Rashee Rice,WR
Better Than Most of You,9,106,Jauan Jennings,WR
Better Than Most of You,10,111,Bryce Young,QB
Better Than Most of You,11,130,Cam Ward,QB
Better Than Most of You,12,135,Chris Godwin Jr.,WR
Better Than Most of You,13,154,Brandon Aiyuk,WR
Better Than Most of You,14,159,Ollie Gordon II,RB
Better Than Most of You,15,178,Darren Waller,TE
Better Than Most of You,16,183,Jalen Coker,WR
Better Than Most of You,17,202,Isaac Guerendo,RB
Better Than Most of You,18,207,Joe Flacco,QB
Brock Solid,1,6,Drake London,WR
Brock Solid,2,19,Jonathan Taylor,RB
Brock Solid,3,30,James Cook III,RB
Brock Solid,4,43,Brock Purdy,QB
Brock Solid,5,54,RJ Harvey,RB
Brock Solid,6,67,Travis Hunter,WR
Brock Solid,7,78,Justin Fields,QB
Brock Solid,8,91,Deebo Samuel,WR
Brock Solid,9,102,Bo Nix,QB
Brock Solid,10,115,Travis Etienne Jr.,RB
Brock Solid,11,126,Cedric Tillman,WR
Brock Solid,12,139,Brock Bowers,TE
Brock Solid,13,150,Cameron Dicker,K
Brock Solid,14,163,Brian Thomas Jr.,WR
Brock Solid,15,174,Mason Taylor,TE
Brock Solid,16,187,Quinshon Judkins,RB
Brock Solid,17,198,Jets,DEF
Brock Solid,18,211,Kyle Williams,WR
Death Is On The Line,1,2,Jahmyr Gibbs,RB
Death Is On The Line,2,23,Kyren Williams,RB
Death Is On The Line,3,26,Garrett Wilson,WR
Death Is On The Line,4,47,Drake Maye,QB
Death Is On The Line,5,50,Calvin Ridley,WR
Death Is On The Line,6,71,Kyler Murray,QB
Death Is On The Line,7,74,Emeka Egbuka,WR
Death Is On The Line,8,95,Tyler Warren,TE
Death Is On The Line,9,98,Tee Higgins,WR
Death Is On The Line,10,119,Tua Tagovailoa,QB
Death Is On The Line,11,122,Dylan Sampson,RB
Death Is On The Line,12,143,Chase Brown,RB
Death Is On The Line,13,146,Christian Kirk,WR
Death Is On The Line,14,167,Woody Marks,RB
Death Is On The Line,15,170,DeMario Douglas,WR
Death Is On The Line,16,191,Roschon Johnson,RB
Death Is On The Line,17,194,Tory Horton,WR
Death Is On The Line,18,215,Packers,DEF
